Zip Code,Contributing Factor Vehicle 1,Borough,Collision Id,Number Of Cyclist Injured,Number Of Cyclist Killed,Number Of Motorist Injured,Number Of Motorist Killed,Number Of Pedestrians Injured,Number Of Pedestrians Killed,Value by choosing type of road user
11203,Unsafe Speed,BROOKLYN,4424587,0,0,0,0,0,0,1
11206,Unsafe Speed,BROOKLYN,4418131,0,0,0,0,0,0,1
11208,Unsafe Speed,BROOKLYN,4524875,0,0,0,0,0,0,1
11213,Unsafe Speed,BROOKLYN,4424886,0,0,0,0,0,0,1
11216,Unsafe Speed,BROOKLYN,4498518,0,0,0,0,0,0,1
11236,Unsafe Speed,BROOKLYN,4409898,0,0,0,0,0,0,1
11236,Unsafe Speed,BROOKLYN,4442481,0,0,0,0,0,0,1
11238,Unsafe Speed,BROOKLYN,4500106,0,0,0,0,0,0,1
11249,Unsafe Speed,BROOKLYN,4507474,0,0,0,0,0,0,1
11216,Unsafe Speed,BROOKLYN,4470524,1,0,0,0,0,0,1
10470,Unsafe Speed,BRONX,4458845,0,0,0,0,0,0,1
10029,Unsafe Speed,MANHATTAN,4672510,1,0,0,0,0,0,1
11236,Unsafe Speed,BROOKLYN,4504805,0,0,1,1,0,0,1
11420,Unsafe Speed,QUEENS,4391379,0,0,1,0,0,0,1
11385,Unsafe Speed,QUEENS,4698463,0,0,0,0,1,0,1
11412,Unsafe Speed,QUEENS,4778979,0,0,0,0,1,0,1
10306,Unsafe Speed,STATEN ISLAND,4620619,0,0,0,0,0,0,1
10309,Unsafe Speed,STATEN ISLAND,4746702,0,0,0,0,0,0,1
10309,Unsafe Speed,STATEN ISLAND,4645425,0,0,0,0,0,0,1
10301,Unsafe Speed,STATEN ISLAND,4608366,0,0,0,0,0,0,1
10304,Unsafe Speed,STATEN ISLAND,4396266,0,0,0,0,0,0,1
10304,Unsafe Speed,STATEN ISLAND,4650550,0,0,0,0,0,0,1
10304,Unsafe Speed,STATEN ISLAND,4575582,0,0,0,0,0,0,1
10306,Unsafe Speed,STATEN ISLAND,4697081,0,0,0,0,0,0,1
10306,Unsafe Speed,STATEN ISLAND,4753089,0,0,0,0,0,0,1
10312,Unsafe Speed,STATEN ISLAND,4456741,0,0,0,0,0,0,1
10018,Unsafe Speed,MANHATTAN,4690315,0,0,2,0,0,1,1
10468,Unsafe Speed,BRONX,4688753,1,0,0,0,0,0,1
11237,Unsafe Speed,BROOKLYN,4634494,1,0,0,0,0,0,1
11249,Unsafe Speed,BROOKLYN,4680303,1,0,0,0,0,0,1
11101,Unsafe Speed,QUEENS,4624876,0,0,0,0,0,0,1
11104,Unsafe Speed,QUEENS,4739342,0,0,0,0,0,0,1
11105,Unsafe Speed,QUEENS,4764923,0,0,0,0,0,0,1
11355,Unsafe Speed,QUEENS,4623598,0,0,0,0,0,0,1
11368,Unsafe Speed,QUEENS,4694358,0,0,0,0,0,0,1
11377,Unsafe Speed,QUEENS,4776082,0,0,0,0,0,0,1
11385,Unsafe Speed,QUEENS,4620948,0,0,0,0,0,0,1
11411,Unsafe Speed,QUEENS,4722115,0,0,0,0,0,0,1
11412,Unsafe Speed,QUEENS,4644495,0,0,0,0,0,0,1
11413,Unsafe Speed,QUEENS,4700409,0,0,0,0,0,0,1
11420,Unsafe Speed,QUEENS,4737208,0,0,0,0,0,0,1
11420,Unsafe Speed,QUEENS,4630758,0,0,0,0,0,0,1
11422,Unsafe Speed,QUEENS,4780811,0,0,0,0,0,0,1
11423,Unsafe Speed,QUEENS,4676697,0,0,0,0,0,0,1
11426,Unsafe Speed,QUEENS,4743112,0,0,0,0,0,0,1
11428,Unsafe Speed,QUEENS,4748960,0,0,0,0,0,0,1
11428,Unsafe Speed,QUEENS,4740695,0,0,0,0,0,0,1
11428,Unsafe Speed,QUEENS,4632554,0,0,0,0,0,0,1
11436,Unsafe Speed,QUEENS,4714543,0,0,0,0,0,0,1
11374,Unsafe Speed,QUEENS,4637129,0,0,0,0,0,0,1
11378,Unsafe Speed,QUEENS,4689688,0,0,0,0,0,0,1
11412,Unsafe Speed,QUEENS,4761334,0,0,0,0,0,0,1
11426,Unsafe Speed,QUEENS,4736398,0,0,0,0,0,0,1
11427,Unsafe Speed,QUEENS,4624282,0,0,0,0,0,0,1
11355,Unsafe Speed,QUEENS,4780491,0,0,0,0,0,0,1
11372,Unsafe Speed,QUEENS,4705051,0,0,0,0,0,0,1
11434,Unsafe Speed,QUEENS,4694437,0,0,0,0,0,0,1
11356,Unsafe Speed,QUEENS,4635901,0,0,1,0,0,0,1
11375,Unsafe Speed,QUEENS,4750179,0,0,1,0,0,0,1
11434,Unsafe Speed,QUEENS,4757320,0,0,1,0,0,0,1
10304,Unsafe Speed,STATEN ISLAND,4486373,0,0,2,0,0,0,1
10312,Unsafe Speed,STATEN ISLAND,4493833,0,0,2,0,0,0,1
11106,Unsafe Speed,QUEENS,4412380,0,0,0,0,0,0,1
11422,Unsafe Speed,QUEENS,4416709,0,0,0,0,0,0,1
10029,Unsafe Speed,MANHATTAN,4487552,0,0,0,0,1,0,1
10021,Unsafe Speed,MANHATTAN,4508277,0,0,2,0,0,0,1
10036,Unsafe Speed,MANHATTAN,4503331,0,0,3,0,0,0,1
