service,dow,dow_label,hour,avg_trips
fhv,0,Mon,0,6071.1
fhv,0,Mon,1,3880.26
fhv,0,Mon,2,2647.63
fhv,0,Mon,3,2204.92
fhv,0,Mon,4,2988.63
fhv,0,Mon,5,4239.95
fhv,0,Mon,6,6891.56
fhv,0,Mon,7,10970.82
fhv,0,Mon,8,13452.5
fhv,0,Mon,9,12456.19
fhv,0,Mon,10,10459.39
fhv,0,Mon,11,9723.02
fhv,0,Mon,12,9810.78
fhv,0,Mon,13,9922.66
fhv,0,Mon,14,10328.01
fhv,0,Mon,15,10497.2
fhv,0,Mon,16,10587.96
fhv,0,Mon,17,11780.29
fhv,0,Mon,18,12348.92
fhv,0,Mon,19,11623.66
fhv,0,Mon,20,10961.0
fhv,0,Mon,21,10469.64
fhv,0,Mon,22,9598.9
fhv,0,Mon,23,7809.66
fhv,1,Tue,0,5413.32
fhv,1,Tue,1,3382.36
fhv,1,Tue,2,2293.89
fhv,1,Tue,3,1876.25
fhv,1,Tue,4,2569.86
fhv,1,Tue,5,3918.92
fhv,1,Tue,6,6892.19
fhv,1,Tue,7,11688.41
fhv,1,Tue,8,14322.2
fhv,1,Tue,9,12931.05
fhv,1,Tue,10,10746.91
fhv,1,Tue,11,9958.85
fhv,1,Tue,12,10060.07
fhv,1,Tue,13,10197.15
fhv,1,Tue,14,10660.24
fhv,1,Tue,15,10943.25
fhv,1,Tue,16,11090.96
fhv,1,Tue,17,12509.4
fhv,1,Tue,18,13314.27
fhv,1,Tue,19,12681.98
fhv,1,Tue,20,12057.76
fhv,1,Tue,21,11673.48
fhv,1,Tue,22,10821.76
fhv,1,Tue,23,8809.3
fhv,2,Wed,0,5959.76
fhv,2,Wed,1,3608.82
fhv,2,Wed,2,2393.78
fhv,2,Wed,3,1927.69
fhv,2,Wed,4,2613.03
fhv,2,Wed,5,3951.86
fhv,2,Wed,6,6959.54
fhv,2,Wed,7,11860.91
fhv,2,Wed,8,14533.98
fhv,2,Wed,9,13282.99
fhv,2,Wed,10,11002.56
fhv,2,Wed,11,10250.11
fhv,2,Wed,12,10390.66
fhv,2,Wed,13,10501.84
fhv,2,Wed,14,10939.85
fhv,2,Wed,15,11064.4
fhv,2,Wed,16,11283.16
fhv,2,Wed,17,12815.58
fhv,2,Wed,18,13650.73
fhv,2,Wed,19,13168.46
fhv,2,Wed,20,12607.79
fhv,2,Wed,21,12356.61
fhv,2,Wed,22,11662.17
fhv,2,Wed,23,9716.92
fhv,3,Thu,0,6599.27
fhv,3,Thu,1,4015.28
fhv,3,Thu,2,2658.87
fhv,3,Thu,3,2133.9
fhv,3,Thu,4,2785.07
fhv,3,Thu,5,4069.88
fhv,3,Thu,6,7060.47
fhv,3,Thu,7,11895.0
fhv,3,Thu,8,14577.8
fhv,3,Thu,9,13345.29
fhv,3,Thu,10,11177.57
fhv,3,Thu,11,10442.98
fhv,3,Thu,12,10548.28
fhv,3,Thu,13,10649.99
fhv,3,Thu,14,11222.51
fhv,3,Thu,15,11448.04
fhv,3,Thu,16,11708.95
fhv,3,Thu,17,13196.78
fhv,3,Thu,18,14215.3
fhv,3,Thu,19,14024.11
fhv,3,Thu,20,13525.4
fhv,3,Thu,21,13490.89
fhv,3,Thu,22,13035.47
fhv,3,Thu,23,11303.8
fhv,4,Fri,0,8136.9
fhv,4,Fri,1,5199.93
fhv,4,Fri,2,3496.28
fhv,4,Fri,3,2740.52
fhv,4,Fri,4,3219.18
fhv,4,Fri,5,4234.55
fhv,4,Fri,6,6964.86
fhv,4,Fri,7,11556.76
fhv,4,Fri,8,14379.96
fhv,4,Fri,9,13454.86
fhv,4,Fri,10,11429.71
fhv,4,Fri,11,10829.01
fhv,4,Fri,12,10920.98
fhv,4,Fri,13,11066.05
fhv,4,Fri,14,11526.96
fhv,4,Fri,15,11696.16
fhv,4,Fri,16,12048.03
fhv,4,Fri,17,13496.44
fhv,4,Fri,18,14693.47
fhv,4,Fri,19,15327.52
fhv,4,Fri,20,14582.85
fhv,4,Fri,21,14187.07
fhv,4,Fri,22,14712.39
fhv,4,Fri,23,14665.38
fhv,5,Sat,0,12757.72
fhv,5,Sat,1,9900.76
fhv,5,Sat,2,7464.71
fhv,5,Sat,3,5630.84
fhv,5,Sat,4,4766.58
fhv,5,Sat,5,3951.54
fhv,5,Sat,6,4625.48
fhv,5,Sat,7,5935.92
fhv,5,Sat,8,7812.49
fhv,5,Sat,9,9531.98
fhv,5,Sat,10,10295.22
fhv,5,Sat,11,10916.88
fhv,5,Sat,12,11427.45
fhv,5,Sat,13,11714.87
fhv,5,Sat,14,11833.13
fhv,5,Sat,15,12103.98
fhv,5,Sat,16,12577.17
fhv,5,Sat,17,13621.21
fhv,5,Sat,18,14582.12
fhv,5,Sat,19,15488.36
fhv,5,Sat,20,15037.28
fhv,5,Sat,21,14804.79
fhv,5,Sat,22,15377.25
fhv,5,Sat,23,15639.13
fhv,6,Sun,0,14179.11
fhv,6,Sun,1,11826.56
fhv,6,Sun,2,8728.88
fhv,6,Sun,3,6738.19
fhv,6,Sun,4,5358.52
fhv,6,Sun,5,3889.08
fhv,6,Sun,6,4103.3
fhv,6,Sun,7,4873.36
fhv,6,Sun,8,6026.77
fhv,6,Sun,9,7974.14
fhv,6,Sun,10,9811.18
fhv,6,Sun,11,10734.81
fhv,6,Sun,12,11048.91
fhv,6,Sun,13,11206.61
fhv,6,Sun,14,11406.61
fhv,6,Sun,15,11425.17
fhv,6,Sun,16,11488.47
fhv,6,Sun,17,11737.23
fhv,6,Sun,18,11931.45
fhv,6,Sun,19,11404.93
fhv,6,Sun,20,10751.13
fhv,6,Sun,21,10418.96
fhv,6,Sun,22,9984.22
fhv,6,Sun,23,8506.4
green,0,Mon,0,631.25
green,0,Mon,1,415.67
green,0,Mon,2,276.49
green,0,Mon,3,212.13
green,0,Mon,4,228.55
green,0,Mon,5,209.46
green,0,Mon,6,361.94
green,0,Mon,7,742.92
green,0,Mon,8,1102.71
green,0,Mon,9,1091.46
green,0,Mon,10,967.29
green,0,Mon,11,903.77
green,0,Mon,12,897.56
green,0,Mon,13,900.82
green,0,Mon,14,1002.41
green,0,Mon,15,1104.35
green,0,Mon,16,1188.51
green,0,Mon,17,1297.19
green,0,Mon,18,1375.2
green,0,Mon,19,1270.54
green,0,Mon,20,1072.63
green,0,Mon,21,941.31
green,0,Mon,22,816.81
green,0,Mon,23,679.4
green,1,Tue,0,497.9
green,1,Tue,1,323.96
green,1,Tue,2,202.56
green,1,Tue,3,147.83
green,1,Tue,4,159.84
green,1,Tue,5,174.58
green,1,Tue,6,353.8
green,1,Tue,7,773.14
green,1,Tue,8,1150.23
green,1,Tue,9,1139.29
green,1,Tue,10,1014.37
green,1,Tue,11,952.81
green,1,Tue,12,942.24
green,1,Tue,13,941.09
green,1,Tue,14,1045.96
green,1,Tue,15,1154.22
green,1,Tue,16,1236.57
green,1,Tue,17,1362.15
green,1,Tue,18,1480.87
green,1,Tue,19,1394.29
green,1,Tue,20,1190.68
green,1,Tue,21,1073.91
green,1,Tue,22,949.06
green,1,Tue,23,791.3
green,2,Wed,0,580.56
green,2,Wed,1,376.85
green,2,Wed,2,234.15
green,2,Wed,3,169.1
green,2,Wed,4,171.11
green,2,Wed,5,177.74
green,2,Wed,6,357.48
green,2,Wed,7,775.95
green,2,Wed,8,1166.98
green,2,Wed,9,1167.47
green,2,Wed,10,1038.71
green,2,Wed,11,988.33
green,2,Wed,12,988.4
green,2,Wed,13,988.26
green,2,Wed,14,1095.27
green,2,Wed,15,1201.43
green,2,Wed,16,1302.98
green,2,Wed,17,1458.97
green,2,Wed,18,1572.16
green,2,Wed,19,1496.61
green,2,Wed,20,1299.33
green,2,Wed,21,1187.46
green,2,Wed,22,1074.47
green,2,Wed,23,915.89
green,3,Thu,0,682.57
green,3,Thu,1,454.92
green,3,Thu,2,290.79
green,3,Thu,3,209.09
green,3,Thu,4,200.49
green,3,Thu,5,194.09
green,3,Thu,6,371.2
green,3,Thu,7,795.86
green,3,Thu,8,1177.95
green,3,Thu,9,1170.72
green,3,Thu,10,1048.3
green,3,Thu,11,1000.27
green,3,Thu,12,997.49
green,3,Thu,13,1003.07
green,3,Thu,14,1127.58
green,3,Thu,15,1247.94
green,3,Thu,16,1365.24
green,3,Thu,17,1519.49
green,3,Thu,18,1647.14
green,3,Thu,19,1575.48
green,3,Thu,20,1401.12
green,3,Thu,21,1318.9
green,3,Thu,22,1224.34
green,3,Thu,23,1086.78
green,4,Fri,0,855.01
green,4,Fri,1,608.22
green,4,Fri,2,406.64
green,4,Fri,3,288.14
green,4,Fri,4,253.28
green,4,Fri,5,213.96
green,4,Fri,6,374.14
green,4,Fri,7,779.17
green,4,Fri,8,1157.29
green,4,Fri,9,1178.13
green,4,Fri,10,1063.75
green,4,Fri,11,1011.55
green,4,Fri,12,963.0
green,4,Fri,13,942.25
green,4,Fri,14,1147.95
green,4,Fri,15,1332.39
green,4,Fri,16,1487.45
green,4,Fri,17,1674.06
green,4,Fri,18,1847.35
green,4,Fri,19,1835.2
green,4,Fri,20,1673.65
green,4,Fri,21,1627.17
green,4,Fri,22,1633.83
green,4,Fri,23,1642.58
green,5,Sat,0,1528.37
green,5,Sat,1,1317.35
green,5,Sat,2,1069.83
green,5,Sat,3,853.9
green,5,Sat,4,658.73
