service,year,month,trips
fhv,2015,1,2720786
fhv,2015,2,3053183
fhv,2015,3,3245472
fhv,2015,4,3874538
fhv,2015,5,4232122
fhv,2015,6,4240561
fhv,2015,7,4384986
fhv,2015,8,5261388
fhv,2015,9,6582838
fhv,2015,10,8585373
fhv,2015,11,8318476
fhv,2015,12,8888809
fhv,2016,1,8510803
fhv,2016,2,9427825
fhv,2016,3,9613395
fhv,2016,4,10138188
fhv,2016,5,10739532
fhv,2016,6,10768623
fhv,2016,7,10977358
fhv,2016,8,11224963
fhv,2016,9,11759658
fhv,2016,10,12657985
fhv,2016,11,12436993
fhv,2016,12,13858760
fhv,2017,1,13657538
fhv,2017,2,13284960
fhv,2017,3,15703098
fhv,2017,4,14764943
fhv,2017,5,15397393
fhv,2017,6,15365121
fhv,2017,7,15672674
fhv,2017,8,15906264
fhv,2017,9,16621486
fhv,2017,10,17893057
fhv,2017,11,18053806
fhv,2017,12,19989217
fhv,2018,1,19808095
fhv,2018,2,19350693
fhv,2018,3,21985270
fhv,2018,4,21049621
fhv,2018,5,21565752
fhv,2018,6,21137951
fhv,2018,7,21599714
fhv,2018,8,22120592
fhv,2018,9,22151737
fhv,2018,10,23289767
fhv,2018,11,22911480
fhv,2018,12,23904082
fhv,2019,1,23159064
fhv,2019,2,1707650
fhv,2019,3,1475569
fhv,2019,4,1937850
fhv,2019,5,2073061
fhv,2019,6,2009900
fhv,2019,7,1947788
fhv,2019,8,1880335
fhv,2019,9,1248520
fhv,2019,10,1897856
fhv,2019,11,1879487
fhv,2019,12,2044196
fhv,2020,1,2028587
fhv,2020,2,1913495
fhv,2020,3,1441864
fhv,2020,4,566426
fhv,2020,5,774970
fhv,2020,6,1011867
fhv,2020,7,1127489
fhv,2020,8,1184036
fhv,2020,9,1271036
fhv,2020,10,1254734
fhv,2020,11,1206356
fhv,2020,12,1164605
fhv,2021,1,1154112
fhv,2021,2,1037692
fhv,2021,3,1302665
fhv,2021,4,1267018
fhv,2021,5,1263660
fhv,2021,6,1311346
fhv,2021,7,1240014
fhv,2021,8,1203018
fhv,2021,9,1179412
fhv,2021,10,1277393
fhv,2021,11,1228962
fhv,2021,12,1339973
fhv,2022,1,1143691
fhv,2022,2,1251504
fhv,2022,3,1380816
fhv,2022,4,1246669
fhv,2022,5,1255828
fhv,2022,6,1195414
fhv,2022,7,1159579
fhv,2022,8,1151155
fhv,2022,9,1160493
fhv,2022,10,1174988
fhv,2022,11,1106084
fhv,2022,12,1285443
fhv,2023,1,1114320
fhv,2023,2,1110797
fhv,2023,3,1328242
fhv,2023,4,1246479
fhv,2023,5,1385826
fhv,2023,6,1219445
fhv,2023,7,1370843
fhv,2023,8,1440352
fhv,2023,9,1293303
green,2014,1,803860
green,2014,2,1005242
green,2014,3,1293471
green,2014,4,1309155
green,2014,5,1421503
green,2014,6,1337759
green,2014,7,1273973
green,2014,8,1344941
green,2014,9,1361893
green,2014,10,1491266
green,2014,11,1548159
green,2014,12,1645787
green,2015,1,1508493
green,2015,2,1574830
green,2015,3,1722574
green,2015,4,1664394
green,2015,5,1786848
green,2015,6,1638868
